sym,date,period_start_price,period_end_price,20_period_return,ema_3,sma_3,wma_3
AAPL,2022-07-12,145.86,168.49,0.15514877279583159,145.51517653536928,145.92333333333332,145.72666666666666
AAPL,2022-07-11,144.87,169.24,0.16821978325395184,145.1703530707385,146.08666666666667,145.84
AAPL,2022-07-06,142.92,165.35,0.1569409459837672,141.4528245659082,141.13666666666668,141.80166666666665
AAPL,2022-07-05,141.56,165.81,0.1713054535179429,139.9856491318164,139.07000000000002,139.87666666666667
AAPL,2022-06-29,139.23,162.51,0.16720534367593193,139.06519305453094,139.4433333333333,139.03833333333333
AAPL,2022-06-28,137.44,157.35,0.14486321303841673,138.90038610906188,140.25333333333333,139.54999999999998
AAPL,2022-06-27,141.66,156.79,0.10680502611887616,140.36077221812377,140.53,141.095
AAPL,2022-06-22,135.35,154.09,0.13845585519024758,134.65617774499012,134.26000000000002,134.89166666666665
AAPL,2022-06-21,135.87,155.35,0.14337234120850806,133.96235548998024,132.49666666666667,133.465
AAPL,2022-06-15,135.43,150.17,0.1088385143616627,135.03884391984184,133.35666666666665,133.94833333333335
AAPL,2022-06-14,132.76,148.47,0.11833383549261833,134.64768783968367,133.92333333333332,133.195
AAPL,2022-06-13,131.88,145.49,0.10319987867758579,136.53537567936735,137.21666666666667,135.42333333333332
AAPL,2022-06-08,147.96,147.04,-0.006217896728845741,147.86300543493877,147.60333333333332,147.90666666666667
AAPL,2022-06-07,148.71,146.35,-0.015869813731423668,147.76601086987756,146.74333333333334,147.29833333333332
AAPL,2022-06-06,146.14,142.92,-0.022033666347338162,146.8220217397551,147.57666666666668,146.73166666666665
AAPL,2022-06-01,148.71,138.93,-0.06576558402259432,148.04617391804084,149.06333333333333,148.90833333333333
AAPL,2022-05-31,148.84,136.72,-0.08142972319269016,147.3823478360817,147.42,148.26333333333332
AAPL,2022-05-25,140.52,141.66,0.008112724167378212,140.63878268865363,141.33,140.89833333333334
AAPL,2022-05-24,140.36,138.27,-0.014890282131661464,140.75756537730726,140.35333333333335,140.81500000000003
AAPL,2022-05-23,143.11,135.35,-0.05422402347844329,141.1551307546145,139.35000000000002,140.31
AAPL,2022-05-20,137.59,135.87,-0.012500908496256987,139.200261509229,138.58666666666667,138.04833333333332
AAPL,2022-05-18,140.82,131.56,-0.06575770487146707,144.27104603691606,145.20000000000002,144.41333333333333
AAPL,2022-05-17,149.24,130.06,-0.1285178236397749,147.72209207383213,147.29666666666665,147.65166666666667
